# Measured scattering data of gold cubes
# q I err
3.942433300000001140e-01 5.190202351341000053e+00 1.818019259484153494e-01
3.957773400000001440e-01 5.147172449233716307e+00 1.811273216952834497e-01
3.973113599999998913e-01 5.259870924712643614e+00 1.816530478030831952e-01
3.988454099999999003e-01 5.130602476628355113e+00 1.801424970487263966e-01
4.003794200000000969e-01 5.189851645210726616e+00 1.803328494141335503e-01
4.019134400000001772e-01 5.058678112835249152e+00 1.806056332308443590e-01
4.034474599999998135e-01 5.357855581800766487e+00 1.816810034888493020e-01
4.049814700000000101e-01 5.477924670114942884e+00 1.812017539901543406e-01
4.065154900000000904e-01 5.297508736781608718e+00 1.805909883873380861e-01
4.080495000000000094e-01 5.294596174137933708e+00 1.803168170333111497e-01
4.095835499999999074e-01 5.103034418007661444e+00 1.787653603878343045e-01
4.111175699999999877e-01 5.061643379310344137e+00 1.761075630362330946e-01
4.126515800000000733e-01 5.204928215517242052e+00 1.780468532757676081e-01
4.141855999999998761e-01 5.336099767624521206e+00 1.775661748486609126e-01
4.157196200000000119e-01 5.133152371072796427e+00 1.769675545633598579e-01
4.172536299999999865e-01 4.800805391187740412e+00 1.740560285162023046e-01
4.187876800000001065e-01 5.011420116091956700e+00 1.744927939806325823e-01
4.203216999999999093e-01 4.815702703065133150e+00 1.739017220612646131e-01
4.218557099999999949e-01 4.432041233141763570e+00 1.718224567392638014e-01
4.233897300000001862e-01 4.437250038314174638e+00 1.728529847800998054e-01
4.249237399999998832e-01 4.485475426819922617e+00 1.744719493593554771e-01
4.264577600000000190e-01 4.566718357471263090e+00 1.736450904170332987e-01
4.279917800000000994e-01 4.468109336973179246e+00 1.723361050951552620e-01
4.295258200000001136e-01 4.065069069348658637e+00 1.711103529572133020e-01
4.310598399999999164e-01 4.267158282950189729e+00 1.724544855084745032e-01
4.325938599999999967e-01 3.920152862835251550e+00 1.710312009138155176e-01
4.341278700000001378e-01 3.891186718582378301e+00 1.696396280360568387e-01
4.356618900000001626e-01 3.311520492528736703e+00 1.679448000173725808e-01
4.371958999999999151e-01 3.301243082758622549e+00 1.686918570442223209e-01
4.387299200000001065e-01 3.418846596551725625e+00 1.694735382906335519e-01
4.402639700000001155e-01 3.195064238697319148e+00 1.675578501123913266e-01
4.417979799999998125e-01 3.018681930651339940e+00 1.645501202008672614e-01
4.433319999999998928e-01 2.979494959195399417e+00 1.654417222985330171e-01
4.448660199999999731e-01 2.974868959961688653e+00 1.652087591592056037e-01
4.464000300000001697e-01 2.828508140804595783e+00 1.621664383294035006e-01
4.479340499999999170e-01 2.646930831034482345e+00 1.628680350238908836e-01
4.494680999999999260e-01 2.425193510536399089e+00 1.610033313587867221e-01
4.510021100000000116e-01 2.908481639846743239e+00 1.596304295604253076e-01
4.525361300000002029e-01 2.516106232567050682e+00 1.587490417699522760e-01
4.540701399999998999e-01 2.407922020306513478e+00 1.566714298954575146e-01
4.556041599999999248e-01 2.288628235057469595e+00 1.551526642911399134e-01
4.571381800000001161e-01 2.033656531609195461e+00 1.539425700182186219e-01
4.586721899999999241e-01 2.022359041762452847e+00 1.534302245513438911e-01
4.602062399999998776e-01 2.156245279501916023e+00 1.526949517044578486e-01
